Month,financialcrisis,stockmarketcrash,debt,bullmarket,bearmarket,recession,economicboom,Price,PercentageChange,DummyTime
2004-01,3,24,45,44,22,5,23,1131.13,0,1
2004-02,3,36,45,32,17,6,56,1144.94,1.220902991,2
2004-03,5,37,39,44,21,9,71,1126.21,-1.635893584,3
2004-04,10,25,42,39,16,8,54,1107.30,-1.679082942,4
2004-05,5,27,42,49,20,7,40,1120.68,1.208344622,5
2004-06,4,13,42,31,15,7,30,1140.84,1.798907806,6
2004-07,3,6,43,16,16,6,21,1101.72,-3.429052277,7
2004-08,2,7,41,43,16,5,38,1104.24,0.228733253,8
2004-09,4,10,43,34,15,7,18,1114.58,0.93639064,9
2004-10,6,24,42,38,15,9,18,1130.20,1.401424752,10
2004-11,7,26,46,39,13,9,38,1173.82,3.859493895,11
2004-12,8,22,38,52,12,5,42,1211.92,3.245812816,12
2005-01,5,22,42,29,23,5,29,1181.27,-2.529044821,13
2005-02,5,28,43,52,14,6,47,1203.60,1.890338365,14
2005-03,5,30,41,55,22,6,33,1180.59,-1.911764706,15
2005-04,7,29,43,47,16,6,15,1156.85,-2.010858977,16
2005-05,2,21,37,46,14,6,40,1191.50,2.99520249,17
2005-06,3,13,40,21,15,5,21,1191.33,-0.01426773,18
2005-07,3,5,36,32,13,5,41,1234.18,3.59682036,19
2005-08,3,6,36,22,5,5,19,1220.33,-1.122202596,20
2005-09,4,12,35,34,12,6,36,1228.81,0.694894004,21
2005-10,4,17,41,39,8,5,17,1207.01,-1.774074104,22
2005-11,7,20,39,40,11,7,17,1249.48,3.518612108,23
2005-12,5,18,34,34,9,6,11,1248.29,-0.09523962,24
2006-01,2,18,41,48,17,6,24,1280.08,2.546683864,25
2006-02,3,22,41,36,11,6,60,1280.66,0.045309668,26
2006-03,3,28,44,39,12,5,13,1294.83,1.106460731,27
2006-04,6,24,42,43,14,7,51,1310.61,1.218692801,28
2006-05,5,25,37,56,15,6,49,1270.09,-3.091690129,29
2006-06,2,11,36,41,29,6,23,1270.20,0.008660804,30
2006-07,2,5,39,27,18,4,9,1276.66,0.508581326,31
2006-08,1,5,38,35,10,8,0,1303.82,2.127426253,32
2006-09,3,11,36,35,12,9,33,1335.85,2.456627449,33
2006-10,3,13,41,31,8,6,15,1377.94,3.15080286,34
2006-11,3,16,39,36,10,7,23,1400.63,1.646660958,35
2006-12,3,13,36,37,11,6,15,1418.30,1.261575148,36
2007-01,2,15,41,42,9,4,10,1438.24,1.405908482,37
2007-02,2,25,41,44,17,10,14,1406.82,-2.184614529,38
2007-03,4,26,41,48,15,10,22,1420.86,0.997995479,39
2007-04,4,18,41,36,11,8,32,1482.37,4.329068311,40
2007-05,3,20,38,39,13,6,42,1530.62,3.25492286,41
2007-06,2,10,38,34,14,5,32,1503.35,-1.781630973,42
2007-07,1,8,42,30,18,5,12,1455.27,-3.198190707,43
2007-08,4,13,41,51,22,11,11,1473.99,1.286359232,44
2007-09,4,14,42,32,14,16,11,1526.75,3.579400132,45
2007-10,3,16,46,48,17,15,28,1549.38,1.482233503,46
2007-11,5,16,43,39,22,23,38,1481.14,-4.404342382,47
2007-12,5,13,42,44,17,20,37,1468.36,-0.862848887,48
2008-01,4,23,51,54,42,100,35,1378.55,-6.11634749,49
2008-02,3,16,49,46,20,48,31,1330.63,-3.476116209,50
2008-03,6,23,48,48,39,52,33,1322.70,-0.595958305,51
2008-04,7,20,46,54,21,49,48,1385.59,4.754668481,52
2008-05,4,17,42,44,12,29,34,1400.38,1.067415325,53
2008-06,3,10,42,33,29,23,20,1280.00,-8.596238164,54
2008-07,3,8,46,62,62,28,14,1267.38,-0.9859375,55
2008-08,3,5,43,28,20,27,21,1282.83,1.219050324,56
2008-09,69,55,55,52,25,60,17,1166.36,-9.079145327,57
2008-10,100,63,63,91,57,87,24,968.75,-16.94245344,58
2008-11,53,25,53,51,31,66,37,896.24,-7.484903226,59
